year,name,total_ticks_collected,tick_population_density,ticks_tested,b_burgdorferi_percent,county_centroid,lyme_count,lyme_rate,abbrev,gnis_id,fips_code,swis,nysp_zone,pop1990,pop2000,pop2010,pop2020,dos_ll,dosll_date,nyc,calc_sq_mi,datemod,shape_leng,shape_area,geometry,jan_19,feb_19,mar_19,apr_19,may_19,jun_19,jul_19,aug_19,sep_19,oct_19,nov_19,dec_19,jan_20,feb_20,mar_20,apr_20,may_20,jun_20,jul_20,aug_20,sep_20,oct_20,nov_20,dec_20,jan_21,feb_21,mar_21,apr_21,may_21,jun_21,jul_21,aug_21,sep_21,oct_21,nov_21,dec_21,jan_22,feb_22,mar_22,apr_22,may_22,jun_22,jul_22,aug_22,sep_22,oct_22,nov_22,dec_22
2021,Schenectady,314,96.93,121,51.2,"(42.8175421, -74.0435834)",458,97.3,SCHE,974144,36093,420000,East,149285,146555,154727,158061,NA,NA,N,209.55386,11/8/18,118236.71,542742009,MULTIPOLYGON (((585241.4 47...,20.5,25.3,31.8,47.2,56.4,64.7,72.5,68.7,60.8,51.5,34.5,27.3,29.1,28.9,39.2,43.6,56.8,67.7,73.6,69.9,60.7,50.5,41.8,30.7,24.5,23.2,35.8,47.5,56.6,68.2,69.3,71.5,63.1,55.4,37.6,34.3,18.2,25.8,35.1,45.8,60.7,65.3,72.5,72.7,61.8,50.6,42.4,30.2
2021,Schuyler,76,74.4,50,56,"(42.419776, -76.9386038)",124,231.8,SCHU,974146,36097,440000,Central,18662,19224,18343,17898,NA,NA,N,342.12875,11/13/18,157807.45,886109393,MULTIPOLYGON (((360703.8 47...,21.3,26.5,30.7,45.3,55.7,63.4,71.3,66.9,61.6,50.9,34.2,28.2,29.3,27.7,38.4,41,54.4,65.5,71.6,69.7,60.2,50.1,42.7,30,26.4,22.7,36.8,45.6,55.2,67.7,68.2,70.8,62.5,55.9,37.6,34.3,17.4,24.4,35.6,44.7,58.7,64.6,69.8,69.9,61.3,49,41.6,28.8
2021,Herkimer,97,42.2,50,38,"(43.4616351, -74.8946938)",100,54.5,HERK,974120,36043,210000,East,65797,64427,64519,60139,NA,NA,N,1456.42011,2/1/18,390792.54,3772110776,MULTIPOLYGON (((486349.2 48...,14.7,19.9,25.4,41.2,51.5,60.6,68.5,64,57.6,47.6,29.6,23.4,23.9,22.5,33,38.2,52.4,62.7,68.2,66.3,57.6,46.3,38.6,26.6,19.6,18.8,30.6,42.7,52.5,64.8,64.9,67.7,59,52.2,33.8,28.7,10.7,19.7,29.4,40.8,56.8,61,66.6,67,57.9,46.7,38.3,26
2021,Oneida,136,40.6,50,54,"(43.2427273, -75.4342824)",395,57.3,ONEI,974131,36065,300000,Central,250836,235469,234878,232125,NA,NA,N,1257.21214,3/9/18,307349.03,3256164502,MULTIPOLYGON (((492898 4808...,17.7,23,28.2,43.7,53.5,62.5,70.8,66.2,60.3,49.6,32.1,26.2,26.5,25,35.5,40.2,53.8,64.8,75.6,68.6,59.8,48.2,41,28.9,22.2,20.8,33.4,45,54.4,66.9,67.2,69.9,61.3,54.8,36.4,31.6,13.5,22.2,32.2,43,58.7,62.8,69.1,69.3,60.3,48.8,40.4,27.8
2021,Westchester,107,12.33,50,26,"(41.1527698, -73.745912)",493,16.8,WEST,974157,36119,550000,East,874866,923459,949113,1004457,NA,NA,N,499.9729,10/4/19,182997.68,1294923860,MULTIPOLYGON (((621529.9 45...,29.1,32.8,37.8,52.1,60,69.1,77.4,73.1,66.9,57,40,34.8,35.5,36.6,44.1,47.5,58.2,71.1,74.4,74.7,65.7,55.4,48.2,35.5,31.1,30.1,41.6,51.4,59.6,71.6,74,75.3,67.6,60,43,40,26.6,33.1,41.8,50,63.3,69,77.4,77.5,67.2,54.4,46.9,34.6
2021,Oswego,169,48.99,99,49.5,"(43.4614428, -76.209258)",283,80.1,OSWE,974136,36075,350000,Central,121771,122377,122109,117525,NA,NA,N,1400.45244,3/26/18,307605.7,3627155171,MULTIPOLYGON (((409549.2 48...,19.2,24.1,29.8,44.4,53.6,62.8,71.6,67.1,61.2,51,33.6,27.9,27.9,26.1,37.4,41.7,54.6,66.2,75.3,70,60.8,49.3,43,31,24.5,22.4,35.8,46.4,55.2,68.6,68.2,71.7,62.6,56.1,38.3,34.2,15.6,24.2,34.2,44.2,59.5,64.1,70.3,70.9,61.6,50.1,42,29.9
2021,Franklin,54,33.1,50,38,"(44.5943743, -74.3106698)",90,60.9,FRAN,974115,36033,160000,East,46540,51134,51599,47555,NA,NA,N,1696.38234,10/4/18,314349.88,4393610084,MULTIPOLYGON (((526445.3 49...,12.3,17.9,24.7,39.8,50,60.4,68.9,63.4,56.2,46.6,27.3,22.6,22.2,20.4,32.5,38,52.1,62.8,69.4,65,56,45,38.2,26,18.2,16.4,30.2,43.4,52.8,65.3,63.9,68.5,58.1,50.9,33.3,26.3,7.7,17.6,29.1,40.6,56.5,61.4,66.6,66.9,57.1,46.9,37.3,26.7
2021,Clinton,196,61.3,104,69.2,"(44.7527103, -73.7056478)",134,55.5,CLIN,974108,36019,90000,East,85969,79894,82128,79843,NA,NA,N,1116.81373,12/7/18,235243.35,2892534278,MULTIPOLYGON (((629506.7 49...,14,17.7,26.6,40.9,51.3,62.3,71.2,65.8,58.1,48.2,29,23.8,22.7,21.3,33.9,39.2,53.9,64.6,71.9,66.5,57.2,47,39.5,27.4,19.2,16.7,32.4,45.1,55,67,65.8,70.3,60.2,51.7,34.9,27.1,8.5,18.6,30.6,42.3,58.3,62.9,68.4,68.2,58.4,49.1,39,28
2021,Sullivan,115,115,50,54,"(41.7201763, -74.7646796)",139,60.3,SULL,974150,36105,480000,East,69277,73966,77547,78624,NA,NA,N,995.45497,5/15/20,255870.76,2578216525,MULTIPOLYGON (((543999.4 46...,22.6,26.9,31.2,47.5,55.9,63.4,71.2,66.6,61.5,50.9,34.4,27.8,29.4,30.6,38.8,41.8,54.2,64.8,76.7,68.7,59.7,49.8,42.4,30.9,25.5,24,35.8,46.6,54.7,66.1,68.9,70,61.4,55.2,37.4,34.1,19.2,26.4,35.2,44.6,58.3,62.4,70.4,71.1,60.5,48.6,41.2,28.8
2021,Cattaraugus,567,49.84,250,53.2,"(42.2448527, -78.6810055)",95,41.3,CATT,974103,36009,40000,West,84234,83955,80317,77042,NA,NA,N,1324.30922,4/26/19,276084.51,3429945130,MULTIPOLYGON (((169747.3 47...,20.5,25.6,29.7,45.1,55.8,62.3,69.9,65.9,61.6,50.9,33.4,30.1,28.4,27.7,39.5,41.3,53.7,64.7,73,67.5,58.9,48.9,42.6,29.9,26.2,22.1,36.8,45.7,53.9,66.5,67.8,70.2,61.7,56.4,37.3,34.8,17.8,24.5,34.9,44.2,58.1,64.2,68.3,67.8,60.7,47.4,40.6,28.4
